[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 524357254, 'fix_type': 3, 'lat': 462880596, 'lon': 213603045, 'alt': 110200, 'eph': 125, 'epv': 144, 'vel': 3, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1250, 'v_acc': 1440, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 524885809, 'fix_type': 3, 'lat': 462880598, 'lon': 213603042, 'alt': 110320, 'eph': 125, 'epv': 144, 'vel': 2, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1250, 'v_acc': 1440, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 525415674, 'fix_type': 3, 'lat': 462880598, 'lon': 213603038, 'alt': 110390, 'eph': 126, 'epv': 145, 'vel': 4, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1260, 'v_acc': 1450, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 525945017, 'fix_type': 3, 'lat': 462880600, 'lon': 213603033, 'alt': 110500, 'eph': 126, 'epv': 145, 'vel': 3, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1260, 'v_acc': 1450, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 526474572, 'fix_type': 3, 'lat': 462880599, 'lon': 213603027, 'alt': 110620, 'eph': 127, 'epv': 146, 'vel': 9, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1460, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 527003592, 'fix_type': 3, 'lat': 462880601, 'lon': 213603024, 'alt': 110680, 'eph': 127, 'epv': 146, 'vel': 7, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1460, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 527532248, 'fix_type': 3, 'lat': 462880599, 'lon': 213603018, 'alt': 110790, 'eph': 127, 'epv': 147, 'vel': 3, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1470, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 528590367, 'fix_type': 3, 'lat': 462880604, 'lon': 213603024, 'alt': 110900, 'eph': 128, 'epv': 149, 'vel': 6, 'cog': 26710, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1280, 'v_acc': 1490, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 529119721, 'fix_type': 3, 'lat': 462880602, 'lon': 213603030, 'alt': 111060, 'eph': 127, 'epv': 150, 'vel': 4, 'cog': 26710, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1500, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 529650011, 'fix_type': 3, 'lat': 462880601, 'lon': 213603031, 'alt': 111160, 'eph': 127, 'epv': 150, 'vel': 6, 'cog': 26710, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1500, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 530178969, 'fix_type': 3, 'lat': 462880601, 'lon': 213603033, 'alt': 111310, 'eph': 127, 'epv': 151, 'vel': 6, 'cog': 26710, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1510, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 530707744, 'fix_type': 3, 'lat': 462880600, 'lon': 213603030, 'alt': 111460, 'eph': 127, 'epv': 151, 'vel': 4, 'cog': 26710, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1510, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 531237311, 'fix_type': 3, 'lat': 462880602, 'lon': 213603029, 'alt': 111560, 'eph': 127, 'epv': 151, 'vel': 2, 'cog': 26710, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1510, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 531767240, 'fix_type': 3, 'lat': 462880602, 'lon': 213603027, 'alt': 111720, 'eph': 127, 'epv': 152, 'vel': 3, 'cog': 26710, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1270, 'v_acc': 1520, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
